raw_country,raw_institute,raw_source,stand_institute,country,flemish,group,qh
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,africamuseum,2-mailinglist_lifewatch.be_users_2023-11-07,RMCA Royal Museum for Central Africa,Belgium,o,Museum,Science
be,africamuseum,2-mailinglist_lifewatch.be_users_2023-11-07,RMCA Royal Museum for Central Africa,Belgium,o,Museum,Science
be,africamuseum,2-mailinglist_lifewatch.be_users_2023-11-07,RMCA Royal Museum for Central Africa,Belgium,o,Museum,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,ulgac,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,uclouvain,2-mailinglist_lifewatch.be_users_2023-11-07,Catholique University of Louvain,Belgium,x,University,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
nl,deltares,2-mailinglist_lifewatch.be_users_2023-11-07,Deltares,Netherlands,,Company,Industry
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,justfgov,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,uliege,2-mailinglist_lifewatch.be_users_2023-11-07,University of Liège,Belgium,o,University,Science
be,ardenne-et-gaume,2-mailinglist_lifewatch.be_users_2023-11-07,Ardenne & Gaume,Belgium,o,Other,Civil society
be,uhasselt,2-mailinglist_lifewatch.be_users_2023-11-07,Hasselt University,Belgium,x,University,Science
be,itg,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,UGent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,UGent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,biodiversity,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,biodiversity,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,biodiversity,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,uliege,2-mailinglist_lifewatch.be_users_2023-11-07,University of Liège,Belgium,o,University,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,uhasselt,2-mailinglist_lifewatch.be_users_2023-11-07,Hasselt University,Belgium,x,University,Science
be,ilvovlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",Belgium,x,Research institute,Science
se,slu,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,plantentuinmeise,2-mailinglist_lifewatch.be_users_2023-11-07,Plantentuin Meise,Belgium,x,Museum,Science
be,belspo,2-mailinglist_lifewatch.be_users_2023-11-07,Federal government - Belgian Science Policy (BELSPO),Belgium,o,Governmental body,Policy
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,uantwerpen,2-mailinglist_lifewatch.be_users_2023-11-07,University of Antwerp,Belgium,x,University,Science
be,oost-vlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,Province of East-Flanders,Belgium,x,Other public authorities,Policy
be,uclouvain,2-mailinglist_lifewatch.be_users_2023-11-07,Catholique University of Louvain,Belgium,x,University,Science
be,vito,2-mailinglist_lifewatch.be_users_2023-11-07,VITO Vlaamse Instelling voor Technologisch Onderzoek,Belgium,x,Research institute,Science
org,unesco,2-mailinglist_lifewatch.be_users_2023-11-07,UNESCO,,,,
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
org,cetaf,2-mailinglist_lifewatch.be_users_2023-11-07,CETAF (Consortium of European Taxonomic Facilities),Europe,,Research network,Science
be,ewivlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,"Flemish Government - Department of Economy, Science and Innovation (EWI)",Belgium,x,Governmental body,Policy
org,unesco,2-mailinglist_lifewatch.be_users_2023-11-07,UNESCO,,,,
be,ulbac,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
uk,sheffieldac,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
com,Lotek,2-mailinglist_lifewatch.be_users_2023-11-07,Lotek,Global,,Company,Industry
be,uclouvain,2-mailinglist_lifewatch.be_users_2023-11-07,Catholique University of Louvain,Belgium,x,University,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,cfwb,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,spwwallonie,2-mailinglist_lifewatch.be_users_2023-11-07,SPW Service public de Wallonie,Belgium,o,Governmental body,Policy
be,wwf,2-mailinglist_lifewatch.be_users_2023-11-07,WWF,Global,,Non-profit organization,Civil society
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,Flemish Government,Belgium,x,Governmental body,Policy
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,Uantwerpen,2-mailinglist_lifewatch.be_users_2023-11-07,University of Antwerp,Belgium,x,University,Science
be,kuleuven,2-mailinglist_lifewatch.be_users_2023-11-07,Catholique University of Louvain,Belgium,x,University,Science
be,aves,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
eu,lifewatch,2-mailinglist_lifewatch.be_users_2023-11-07,LifeWatch BELGIUM,Belgium,,Research ,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
eu,emodnet,2-mailinglist_lifewatch.be_users_2023-11-07,EMODnet (European Marine Observation and Data Network),Europe,,Data infrastructure,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,uantwerpen,2-mailinglist_lifewatch.be_users_2023-11-07,University of Antwerp,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,mil,2-mailinglist_lifewatch.be_users_2023-11-07,Defensie,Belgium,o,Defence,Policy
be,mil,2-mailinglist_lifewatch.be_users_2023-11-07,Defensie,Belgium,o,Defence,Policy
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
gr,vetauth,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
gr,vetauth,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,uhasselt,2-mailinglist_lifewatch.be_users_2023-11-07,Hasselt University,Belgium,x,University,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,natagora,2-mailinglist_lifewatch.be_users_2023-11-07,Natagora,Belgium,o,Non-profit organization,Civil society
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
nl,wur,2-mailinglist_lifewatch.be_users_2023-11-07,Wageningen University & Research (WUR),Netherlands,,University,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ulgac,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,uhasselt,2-mailinglist_lifewatch.be_users_2023-11-07,Hasselt University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
nl,derijkenoordzee,2-mailinglist_lifewatch.be_users_2023-11-07,De Rijke Noordzee,Belgium,x,Non-profit organization,Civil society
eu,lifewatch,2-mailinglist_lifewatch.be_users_2023-11-07,LifeWatch BELGIUM,Belgium,,Research ,Science
eu,lifewatch,2-mailinglist_lifewatch.be_users_2023-11-07,LifeWatch BELGIUM,Belgium,,Research ,Science
be,ilvovlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",Belgium,x,Research institute,Science
nl,derijkenoordzee,2-mailinglist_lifewatch.be_users_2023-11-07,De Rijke Noordzee,Belgium,x,Non-profit organization,Civil society
be,africamuseum,2-mailinglist_lifewatch.be_users_2023-11-07,RMCA Royal Museum for Central Africa,Belgium,o,Museum,Science
com,hotmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
org,unesco,2-mailinglist_lifewatch.be_users_2023-11-07,UNESCO,,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,africamuseum,2-mailinglist_lifewatch.be_users_2023-11-07,RMCA Royal Museum for Central Africa,Belgium,o,Museum,Science
com,protonmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
eu,marineboard,2-mailinglist_lifewatch.be_users_2023-11-07,European Marine Board,Europe,,NGO,Civil society
eu,marineboard,2-mailinglist_lifewatch.be_users_2023-11-07,European Marine Board,Europe,,NGO,Civil society
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vito,2-mailinglist_lifewatch.be_users_2023-11-07,VITO Vlaamse Instelling voor Technologisch Onderzoek,Belgium,x,Research institute,Science
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,telenet,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
com,hotmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
it,live,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,INBO,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
int,esa,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,vlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,Flemish Government,Belgium,x,Governmental body,Policy
be,fwo,2-mailinglist_lifewatch.be_users_2023-11-07,Research Foundation – Flanders,Belgium,x,Governmental body,Policy
be,vlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,Flemish Government,Belgium,x,Governmental body,Policy
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
au,anuedu,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
br,embrapa,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
com,icloud,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,jardinbotaniquemeise,2-mailinglist_lifewatch.be_users_2023-11-07,Plantentuin Meise,Belgium,x,Museum,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,provincieantwerpen,2-mailinglist_lifewatch.be_users_2023-11-07,Province of Antwerp,Belgium,x,Governmental body,Policy
be,provincieantwerpen,2-mailinglist_lifewatch.be_users_2023-11-07,Province of Antwerp,Belgium,x,Governmental body,Policy
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,UGent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
